name,country_id
Adelaide,1
Alice Spring,1
Ayers Rock,1
Brisbane,1
Canberra,1
Carins,1
Darwin,1
Gold Coast,1
Hobart,1
Launceston,1
Melbourne,1
Perth,1
Sydney,1
Bhutan,2
Brunei,3
Phnom Penh,4
Siem Reap,4
Poi Pet,4
Beijing,5
Changsha,5
Chengdu,5
Guangzhou,5
Guilin,5
Hainan,5
Kunming,5
Macau,5
Shanghai,5
Shenzhen,5
Zhangjiajie,5
Zhongshan,5
Zhuhai,5
Austria,6
Balkans,6
Croatia,6
Greece,6
Iceland,6
Russia,6
United Kingdom,6
Switzerland,6
Slovenia,6
Europe Private Tour,6
Europe Rail Tour,6
Hong Kong,7
Macau,7
North East India,8
Darjeelling & Sikkim,8
Golden Triangle of India,8
South India,8
Temple Tour Packages,8
Bali,9
Banda Aceh,9
Batam,9
Bandung,9
Bintan,9
Jakarta,9
Jogjakarta,9
Lombok,9
Makassar,9
Medan,9
Padang,9
Pelembang,9
Pekan Baru,9
semarang,9
Solo,9
Surabaya,9
Yogyakarta,9
japan,10
Busan,11
Jeju,11
Seoul,11
North Korea,11
Laos,12
Cameron Highlands,13
Desaru,13
Genting Highlands,13
Ipoh,13
Johor Bahru,13
Kota Kinabalu,13
Kuala Lumpur,13
Kuantan,13
Kuching,13
Langkawi,13
Lang Tengah Island,13
Legoland,13
Malacca,13
Penang,13
Port Dickson,13
Pulau Besar,13
Rawa Island,13
Redang,13
Sibu Island,13
Sunway,13
Tioman,13
Maldives - Resorts,14
Mauritius - Resorts,15
Mauritius - Islands,15
Dubai & Abu Dhabi,16
Turkey,16
Mangolia,17
Yangon,18
Nepal,19
Auckland,20
Northland,20
Southland,20
Wellington,20
Bohol,21
Boracay,21
Cebu,21
Davao,21
Luzo,21
Manila,21
Palawan,21
Other Islands,21
Singapore,22
Colombo,23
Kandy,23
Galle,23
Taiwan,24
Taiwan Bus Tour,24
Bangkok/Pattaya,25
Chiang Mai/Chiang Rai,25
Hat Yai,25
Krabi,25
Phi Phi Island,25
Phuket,25
Koh Samui,25
Las Vegas,26
Hawai Island,26
San Francisco,26
California,26
East Coast,26
Ontario,27
Quebec,27
British Columbia,27
Brazil,28
Colombia,28
Equador,28
Peru,28
Dalat,29
Danang,29
Hanoi,29
Ho Chi Minh,29
Nha Trang,29
Phu Quoc Island,29
